,,15631,348
Tracking ID,Client Name,Till Mar Application,Till Mar Admission
12000001,SNAP,1133,0
12000002,NMIMS NMAT,915,0
12000003,NMAT By GMAC,126,0
12000004,SPJIMR (PGPM&GMP),5,0
12000005,LBSIM,89,0
12000006,FLAME University,0,0
12000007,Learning Routes,4,1
12000008,LISAA School of Design,7,0
12000009,GIBS,174,0
12000010,Parul University,60,13
12000011,XIM University,0,0
12000012,Atlas SkillsTech University - Executive MBA,0,0
12000013,IIAD,85,0
12000014,MEWA Vanguard Business School,0,0
12000015,SPJIMR PGDM,830,0
12000016,Myra School of Business,14,0
12000017,Dr. D.Y. Patil School of Design,7,0
12000018,SDMIMD,14,0
12000019,Lexicon MILE,3,0
12000020,MERI,0,0
12000021,TDV,18,0
12000022,Symbiosis Institute of Design,23,0
12000023,GNIOT,75,9
12000024,LPU,208,30
12000025,IFMR Graduate School of Business,224,0
12000026,Great Lakes institute of Management,1034,0
12000027,BIMTECH,522,0
12000028,IBI,64,0
12000029,KSOM,26,0
12000030,KSRM,0,0
12000031,SVIMCS,0,0
12000032,Narayana Business School,29,16
12000033,Workfreaks Business School,0,0
12000034,JAGSOM,89,0
12000035,NSB Academy Bangalore,3,3
12000037,Woxsen University,285,0
12000038,XISS Ranchi,469,0
12000039,Goa Institute of Management,1494,0
12000040,Koshys Group Of Institution,0,0
12000041,Mahindra University,50,0
12000042,Parul University Online,0,0
12000043,Karnavati University,43,0
12000044,Unitedworld Institute of Design (UID),27,0
12000045,Bharathidasan Institute of Management,98,0
12000046,Delhi School of Business VIPS Campus,44,0
12000047,MICA,907,0
12000048,Loyola Institute of Business Administration,120,0
12000049,Alliance University,180,54
12000050,Masters Union,21,0
12000051,IMS UCC Ghaziabad,17,4
12000052,AME CET,5,0
12000053,IQ City United World School of Business,0,0
12000054,ICFAI University,507,0
12000055,MIT Institute of Design,240,0
12000056,Chandigarh University Unnao,22,4
12000057,Chandigarh University Mohali,55,11
12000058,CGC University Mohali,55,0
12000059,SDNB Vaishnav College for Women,53,3
12000060,Jain University,89,0
12000061,ISME,16,0
12000062,Shoolini University,22,0
12000063,Vivekananda Global University CTPL,14,1
12000064,Chanakya University,110,19
12000065,ISB&M Pune,10,0
12000066,Dayananda Sagar University,62,2
12000067,Asian Business School,4,1
12000068,RCM Bhubaneswar,8,0
12000069,Pune Business School,0,0
12000070,Sandip University,3,1
12000071,ZEE DSU,65,1
12000072,IMIS Bhubaneswar,4,0
12000073,JIMS Kalkaji,11,0
12000074,Gnanam School of Business,2,0
12000075,Rajalakshmi Institute of Technology,6,6
12000076,RV University,276,15
12000077,Muthoot Business School,5,0
12000078,Firebird Institute,7,0
12000079,Shanti Business School,6,4
12000080,XIME Bangalore,982,0
12000081,Swarrnim University,1,0
12000082,IMDR,5,0
12000083,Parul University Goa,12,4
12000084,Maharishi Markandeshwar University,7,0
12000085,Jaipuria Institute of Management,95,0
12000086,Hindustan Institute of Technology and Science,132,0
12000087,Frankfinn Institute of Air Hostess,0,0
12000088,CODE,2,1
12000089,Amity Noida,73,0
12000090,MIT WPU,23,2
12000091,ASBM,1,0
12000092,National Law University Cuttack,0,0
12000093,Pillai University,7,1
12000094,VelTech University,88,0
12000095,CMS Business School,32,0
12000096,VJIM,4,3
12000097,Birla Global University,13,0
12000098,KIIT School of Law,2,0
12000099,KIIT School of Leadership,16,0
12000100,ISB&M Kolkata,0,0
12000101,Kirloskar Institute Of Management,9,0
12000102,IIFT Bangalore,1,0
12000103,Adani Institute of Digital Technology Management,11,0
12000104,Dhruva College of Management,0,0
12000105,Siva Sivani Institute of Management,6,2
12000106,Renaissance University,25,0
12000107,N.L. Dalmia IMSR,77,0
12000108,WE School,726,0
12000109,NIBM,0,0
12000110,GEMS Bangalore,0,1
12000111,Campusin,0,0
12000112,Sri Sri University,20,0
12000113,Master School of Management,0,0
12000114,SAGE University Bhopal,8,0
12000115,SAGE University Indore,8,0
12000116,ITM IDM,1,0
12000117,Sagar Group of Institutions Bhopal,0,0
12000118,ITM Skills University,2,0
12000119,ITM IHM,1,1
12000120,Mumbai Educational Trust,3,0
12000121,JBIT,0,0
12000122,Institute of Public Enterprise-Hyderabad,42,0
12000123,MIT Vishwaprayag University,2,0
12000124,Sri Venkateswara College,0,0
12000125,IFIM Institutions,22,0
12000126,GD Goenka University,10,2
12000127,Sharda University,3,0
12000128,Vijaybhoomi University,2,1
12000129,Sanskriti University,28,0
12000130,IIBS Bangalore,126,21
12000131,SOIM Hyderabad,2,0
12000132,SRM Sonipat,14,0
12000133,IEM Kolkata,0,0
12000134,UEM Kolkata,0,0
12000135,UEM Jaipur,0,0
12000136,Centurion University,64,9
12000137,Globsyn Business School,12,0
12000138,NIFD Pune,0,0
12000139,ITM Business School,4,0
12000140,Whistling Woods International,4,0
12000141,Dr. D.Y. Patil B School,1,1
12000142,DPGU SBS,0,0
12000143,DPGU SMR,0,0
12000144,NSHM Kolkata,3,0
12000145,JD Institute of Fashion Technology,3,0
12000146,Geeta University,5,0
12000147,Indus University,55,6
12000148,Sigma University,9,0
12000149,Soundarya Institute of Management & Science,2,1
12000150,Ecole Intuit Lab Bangalore,0,0
12000151,IIHS University Bangalore,0,0
12000152,IZEE Group of Institutions,11,0
12000153,Asian School of Businesses,1,0
12000154,NITK Surathkal School of Management,0,0
12000155,IISM Mumbai,12,3
12000156,Atria Institute of Technology,0,0
12000157,ISSM Business School,1,0
12000159,St. Thomas College,0,0
12000160,Mangalmay Institute of Engineering and Technology,0,0
12000161,Arya College of Engineering and IT,0,0
12000162,Dangayach School of Hotel Management,0,0
12000163,#N/A,12,0
12000164,BMS College of Commerce and Management,1,0
12000165,BSM Hyderabad,4,0
12000166,OSMT,0,0
12000167,Future University,6,0
12000168,IPEM Group of Institutions,0,0
12000169,IILM University,68,2
12000170,SAITM,1,0
12000171,Himalayan Institute of Technology,0,0
12000172,Silver Oak University,4,0
12000173,DSBS,3,2
12000174,Indira University,7,0
12000175,AIBM,1,1
12000176,Rajalakshmi School of Business,9,0
12000177,Atlas SkillsTech University - B.Tech/MBA,46,24
12000178,Atlas SkillsTech University - UG,10,0
12000179,Tribhuvan Sahkari University (IRMA),6,0
12000180,Kalinga University Raipur,27,0
12000181,East Point Group of Institutions,0,0
12000182,IIHMR,6,0
12000183,CGC Landran,8,8
12000184,Bennett University,76,0
12000185,Uttaranchal University,6,0
12000186,PIET,0,0
12000187,ITS Ghaziabad,3,2
12000188,IIRM Hyderabad,5,0
12000189,Chettinad Academy of Research and Education,6,3
12000190,Auro University,4,1
12000191,Tolani Maritime Institute,54,0
12000192,ABBS Bangalore,0,0
12000193,Vivekanand Business School,0,0
12000194,ITS Engineering College,1,0
12000195,ISBS Gurgaon,0,0
12000196,AAM Business School,0,0
12000197,SKIPS University,3,0
12000198,St. Kabir Institute of Professional Studies,1,0
12000199,Bharati Vidyapeeth Deemed University,19,0
12000200,Dev Bhoomi Uttarakhand University,1,1
12000201,TKMIM KOLLAM,0,0
12000202,RV University Mysore,10,0
12000203,Taxila Business School,0,0
12000205,Pimpri Chinchwad University,4,0
12000206,Ganpat University Online,0,0
12000207,ISHM Kolkata,0,0
12000208,CSMU,4,0
12000209,IBSAR,0,0
12000210,DYPSBBI,0,0
12000211,DPGU School Hospitality & Tourism,0,0
12000212,DPGU School of Liberal Arts,0,0
12000213,DPGU School of Pharmacy & Research,0,0
12000214,DPGU School of Technology & Research,0,0
12000215,NMIMS SMT,0,0
12000216, NMIMS NLAT,0,0
12000217, NMIMS NPAT,0,0
12000218,NMIMS CET,0,0
12000219,NMIMS SoHMM,0,0
12000220,NMIMS SOD,0,0
12000221,IMS Noida,2,0
12000222,Maharaja Agrasen Business School,15,0
12000223,JIMS VK2,3,0
12000225,Ganpat University- Goa,0,0
12000226,Ganpat University,364,17
12000227,ECR GROUP OF INSTITUTION,0,0
12000228,CPJ College of Higher Studies and School of Law,0,0
12000229,CPJ Institute of Management & Technology,0,0
12000230,IAER,3,0
12000231,KOCHI BUSINESS SCHOOL,3,0
12000232,Moople Institute of Animation and Design,0,0
12000233,LEAD COLLEGE,1,0
12000234,Aims IBS,0,0
12000235,JAI BHARATH COLLEGE,0,0
12000236,Shivaji College of Engineering and Technology,0,0
12000237,Sarabhai Institute of Science and Technology,1,0
12000238,People Institute of Management Studies,0,0
12000239,Rajagiri Business School,5,0
12000240,Calcutta Business School,0,0
12000241,Quantum University,2,0
12000242,GLBIMR,0,0
12000243,Chandragupt Institute of Management Patna,8,0
12000244,ILEAD,2,0
12000245, VAMNICOM,0,0
12000246,KL University,39,0
12000247,Gitarattan International Business School,0,0
12000248,Gian Jyoti Institute of Management & Technology,0,0
12000249,Saraswati Group of Colleges,1,0
12000250,AP Goyal Shimla University,2,0
12000251,Tula's Institute,1,0
12000252,G.C.R.G. Group of Institutions,0,0
12000253,IMAS Kolkata,0,0
12000254,Ramaiah Institute of Legal Studies,5,0
12000255,Ramaiah Institute of Business Studies,0,0
12000256,Ramaiah Institute Of Management Studies,3,0
12000257,KIIT University,95,0
12000258,Western India Institute of Aeronautics (WIIA),1,0
12000259,KR Mangalam University,5,0
12000260,Indian IHM,0,0
12000261,GRD Institute of Management and Technology,0,0
12000262,DBS Global University,0,0
12000263,Alard University,1,0
12000264,BSS Foundation,8,0
12000265,Istituto Marangoni,0,0
12000266,RIIM,0,0
12000267,Somaiya Vidyavihar University,20,0
12000268,Vels Institute of Science Technology & Advance Studies,0,0
12000269,Jaipur National University,10,2
12000270, Global Institute Of Technology,0,0
12000271,AIMT PG,0,0
12000272,Emversity,2,2
12000274,Adamas University,13,4
12000275,MATS University,1,0
12000277,Vikrant University,0,0
12000278,"TGBS, Mumbai",0,0
12000279,"IIDT, Navi Mumbai",0,0
12000280,CB Bhandari Jain College,0,0
12000281,Graphic Era University,10,0
12000282,BIITM Bhubaneswar,0,0
12000283,Brainware University,0,0
12000284,"FinX, Mumbai",2,0
12000285,Valia School of Management,0,0
12000286,NICMAR,29,0
12000287,Leher School Of Design (LSOD),0,0
12000288,SOA University,51,0
12000290,KCG College of Technology,3,0
12000291,"Bakliwal Foundation - College Of Arts, Commerce & Science",0,0
12000292,HIMT Group of Institutions,0,0
12000293,CVRU-Bilaspur,0,0
12000294,Rabindranath Tagore University,0,0
12000295,CVRU-Khandwa,1,0
12000296,CVRU-Vaishali,0,0
12000297,Scope Global Skills University,0,0
12000299,AISECT University,0,0
12000300,MIT ADTU,13,0
12000301,Amity Mohali,13,3
12000302,Amity Kolkata,7,3
12000303,Amity Ranchi,8,0
12000304,Amity Patna,3,0
12000305,Amity Hyderabad,13,0
12000306,AGBS,11,0
12000314,VESCOA,0,0
12000315,Vision Teachers Academy,0,0
12000316,World College of Technology & Management,1,0
12000158,Universal AI University,2,1
12000204,"Swami Keshvanand Institute of Technology, Management & Gramothan (SKIT)",0,0
12000224,London Management Academy,0,0
12000273,Symbiosis Entrance Test,5,0
12000276,Oriental University,2,2
12000289,Remo International College,0,0
12000307,MBA ESG,0,0
12000308,Artemisia College of Art & Design,0,0
12000309,Manson Center of Excellence-School of Business Management,0,0
12000310,Rathinam Group Of Institution,36,1
12000311,IITM Janakpuri,3,0
12000312,Amity C7,139,0
12000313,Vignana Jyothi Institute of Arts and Sciences,0,0
12000317,Bangalore Integrated Management Academy(BIMA),0,0
12000318,Institute of Hotel Management - CIIIH,1,0
12000319,Yenepoya University Bangalore,8,8
12000320,RCEW,0,0
12000321,Arya College of Engineering,0,0
12000322,Vishwa Vishwani Institute of Systems and Management,4,0
12000323,Rai University,2,0
12000324,Rai Technology University,0,0
12000325,ISM Patna,0,0
12000326,GITM Gurgaon,0,0
12000327,ISHKHAN AVIATION,0,0
12000328,KIIT School of Mechanical Engineering,6,0
12000329,Jaipur Engineering College,0,0
12000330,Graffiti Institute of Fashion Technology,0,0
12000331,KIIT School of Design,11,0
12000332,KIIT School of Electrical Engineering,4,0
12000333,KIIT School of Civil Engineering,1,0
12000334,KIIT School of Electronics & Telecommunication,10,0
12000335,KIIT School of Economics & commerce,1,0
12000336,Online VGU,0,0
12000337,Synetic Business School,0,0
12000338,Invertis University,2,0
12000339,Ambalika Institute of Management & Technology,0,0
12000340,R R Group of Institutions,0,0
12000341,Indian Educational Services,0,0
12000342,BMS School of Architecture,0,0
12000343,Sivananda Sarma Memorial RV Degree College,0,0
12000344,Vijaya College,0,0
12000345,Apeejay School of Management,1,0
12000346,ONESB,0,0
12000347,Christ Academy Institute of Law (CAIL),6,2
12000348,KLE LAW College,0,0
12000350,Dhanwantari Academy for Management Studies,0,0
12000351,Reva University,7,0
12000352,RedVersity,0,0
12000353,GCEC Global Foundation,0,0
12000354,Shri Ramswaroop Memorial University,0,0
12000355,MIT Group of Institutions,0,0
12000356,Gateway Education,0,0
12000357,Shobhit University,3,0
12000358,Rishihood University,1,0
12000359,Vidhyadeep University,4,0
12000360,IIS Jaipur,0,0
12000361,"Adarsh Institute of Management & Information Technology, AIMIT",0,0
12000362,"ASM IBMR, Pune",0,0
12000363,Asian Law College,2,0
12000364,ITM Raipur University,0,0
12000365,GIET University,0,0
12000366,IIMT University Greater Noida,0,0
12000367,BML Munjal,0,0
12000368,Edinbox - AIFSET,38,0
12000369,Edinbox - GMCAT,0,0
12000370,Edinbox - AIDAT,0,0
12000371,Edinbox - AICLET,3,0
12000372,Edinbox - GCSET,0,0
12000373,Edinbox - GMCET,0,0
12000374,Edinbox - AIACAT,0,0
12000375,Edinbox - GAHET,0,0
12000376,"BP Marine, Navi Mumbai",0,0
12000377,Roorkee Institute of Technology,0,0
12000378,Noida International University,1,0
12000379,NIST University,9,0
12000380,Dr. Subhash University,0,0
12000381,Kadi Sarva Vishwavidyalaya,0,0
12000382,TransStadia University,0,0
12000383,Royal Global University,2,1
12000384,Emversity School of Hospitality,0,0
12000385,Dr Kakarla Subba Rao Centre for Healthcare Management,0,0
12000386,KK Modi University,2,0
12000387,Lamrin Tech Skills University,1,0
12000389,Accu Study,0,0
12000390,RAJAGIRI SOCIAL SCIENCE COLLEGE,0,0
12000391,Rungta International Skills University,1,0
12000392,St. Xavier's College,0,0
12000393,Bengal Institute of Business Studies,0,0
12000394,IMS Unison University,0,0
12000395,Bhojia Dental College & Hospital,0,0
12000396,Swami Devi Dyal Group of Professional Studies,0,0
12000397,SVIET,0,0
12000398,SPJIMR GMP,2,0
12000399,Apollo University,4,0
12000400,College of Hospitality Administration,0,0
12000401,Career College,0,0
12000402,BM Group,3,0
12000403,Runax Institute of Hotel Management,0,0
12000404,Apollo Healthcare Academy,5,0
12000405,HKBK,0,0
12000406,"Ecole Intuit Lab, New Delhi",0,0
12000407,JS Institute of Design,0,0
12000408,Indore Institute of Law,0,0
12000409,Idyllic Institute of Management,0,0
12000410,Jagran Lakecity University,0,0
12000411,ADTU,5,0
12000412,NIET Business School,0,0
12000413,"ASM NextGen, Pune",0,0
12000414,"ASM IPS, Pune",0,0
12000415,"ASM IIBR, Pune",0,0
12000416,"ASM CSIT, Pune",0,0
12000417,St. Marry Rehabilation University,0,0
12000420,Manipal Academy of Higher Education,1,0
12000421,GNA University,0,0
12000422,HGEA College of Pharmacy,0,0
12000423,NMIMS University,60,0
12000424,JEMTEC,0,0
12000425,NIAT,0,0
12000426,UKSIMSR,0,0
12000427,Techno India University,0,0
12000428,Akar Group of Colleges,0,0
12000429,"MGM IMSR, Navi Mumbai",0,0
12000430,Techno Main Saltlake,0,0
12000431,Techno Bengal Institute of Technology,0,0
12000432,UpGrad School of Techhnology,0,0
12000433,Bhavans Royal Institute,0,0
12000434,JK Business School,0,0
12000435,RBMI Group of Instituions Greater Noida,0,0
12000436,JSS University,0,0
12000437,HLM Group of Institution,0,0
12000438,International Institute of Hotel Management,0,0
12000439,Shreyarth University,0,0
12000440,Samalkha Group of Institutions,0,0
12000441,SCSVMV University,0,0
12000442,RBMI Group of Instituions Bareilly,0,0
12000443,Institute of Advanced Research (IAR University),1,0
12000444,Starex University,0,0
12000445,Intellipaat School of Technology (IST),0,0
12000446,"Rayat Bahra University,Mohali",1,1
12000447,Sai Group of Institutiions,0,0
12000448,Sangam University,0,0
12000449,Kohinoor Management School,0,0
12000451,"School of future, Techno India University (SOF) ",0,0
12000452,CMR University,2,0
12000454,CVM University,0,0
12000455,Sanskar Educational Group,0,0
12000456,Institute of Aeronautics and Engineering,0,0
12000457, Mansarovar Global University,0,0
12000458,AIMTH,0,0
12000459,Sharda University Agra,1,0
12000460,Vedha Institute of Management,0,0
12000461,Thapar University,6,0
12000462,Gulzar Group of Institutions,0,0
12000463,"DYPIU, Pune",0,0
12000465,Sri Sharda Group of Institutions,0,0
12000466,Saraswait Institute of Pharmaceutical Sciences,0,0
12000468,Rajshree Group of Institutions,0,0
12000469,Silicon University,0,0
12000470,Soorya Group Of Nursing College,0,0
12000471,Avantika University,0,0
12000472,Sardar Bhagwan Singh University,0,0
12000473,CT Group of Institutions,0,0
12000474,DPG Degree College,0,0
12000475,BFIT Dehradun,0,0
12000476,YBN University,0,0
12000477,Quad Ai School of Technology & Management,0,0
12000478,Neotech Education Campus,0,0
12000479,Asian School of Business,0,0
12000480,IIMS KOCHI,0,0
12000482,IIM Vishakhapatnam,0,0
12000483,DRIEMS University,0,0
12000485,Mody University,0,0
12000486,Shekhawati Group of Institutions,0,0
12000487,"Rayat Bahra Professional University,Hoshiarpur",0,0
12000488,OM Sterling Global University,0,0
12000489,ITM SLS Baroda University,0,0
12000490, Oriental Group of Institutes,0,0
12000491,Sri Aurobindo Institute of Technology,0,0
12000492,IPS Academy,0,0
12000493,JECRC University,1,0
12000495,Dhanalakshmi Srinivasan University,0,0
12000496,S-VYASA University,0,0
12000499,AMC,0,0
12000500,Netaji Subhas University,0,0
12000502,Ahmedabad University,0,0
12000505,IIM Amritsar,0,0
12000506,Universal Group of Institutions,0,0
12000510,Haridwar University,0,0
12000511,Kaziranga University,0,0
12000513,Om Dayal Group of Institutions,0,0
12000515,"MIT University, Shillong",0,0
12000516,Gandhi Engineering College,0,0